ID,validFrom,validTo,longitude,latitude,name,description,image,number,orderBy,isKidFriendly,isElderlyFriendly,isStrollerFriendly,hasVisited,hasToilet,hasFood,groupFilterStampings,groupSize,totalGroupStampings,stampedUserIds,stampedUsers,heroImageUrl,imageCaption
01120de0-a8d3-46ad-bb41-0df2e82b1a22,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.873320000000035,51.78734,Volkmarskeller,"Der Volkmarskeller ist eine natürliche Karsthöhle westlich von Blankenburg im Harz. Er liegt oberhalb des Klostergrundes, etwa 4 km vom Kloster Michaelstein entfernt. Die Höhle diente im Mittelalter als Einsiedelei und später als Klosterkirche. Heute ist sie als Stempelstelle 87 der Harzer Wandernadel bekannt.",,87,087,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/87-volkmarskeller.jpg,[Volkmarskeller Cave 2](https://commons.wikimedia.org/wiki/File:Volkmarskeller_Cave_2.jpg) von [Bermicourt](https://commons.wikimedia.org/wiki/User:Bermicourt) unter Lizenz [CC BY-SA 3.0](https://creativecommons.org/licenses/by-sa/3.0)
af11c56a-a900-481b-acdc-49f1162161c4,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.850469999999973,51.75973,Schornsteinberg,Der Schornsteinberg (458 m ü. NN) ist ein Aussichtspunkt oberhalb des Freibads Bodeperle in Rübeland.,,89,089,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/89-schornsteinberg.jpg,[Schornsteinberg-Rübeland](https://commons.wikimedia.org/wiki/File:Schornsteinberg-R%C3%BCbeland.jpg) von [Benutzer:Hejkal](https://de.wikipedia.org/wiki/Benutzer:Hejkal) unter Lizenz [CC BY-SA 2.0 de](https://creativecommons.org/licenses/by-sa/2.0/de/deed.en)
0a5b13dc-04df-4870-aad1-d13fa2b16171,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.503640000000019,51.79024,Wolfswarte (NPH),Die Wolfswarte (918 m ü. NN) ist eine markante Felskuppe aus Quarzit im Nationalpark Harz. Sie liegt nahe Altenau und bietet einen weiten Blick über den Westharz bis ins nördliche Harzvorland.,,135,135,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/135-wolfswarte.jpg,[BruchbergWolfswarte](https://commons.wikimedia.org/wiki/File:BruchbergWolfswarte.jpg) von Der ursprünglich hochladende Benutzer war [Kassandro](https://en.wikipedia.org/wiki/de:User:Kassandro) in der [Wikipedia auf Deutsch](https://en.wikipedia.org/wiki/de:) unter Lizenz Public domain
e27cae6c-81c7-4672-9f37-19d08be96ddd,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.472049999999967,51.6884,Goedeckenplatz,Der Goedeckenplatz ist eine Wegkreuzung zwischen Sankt Andreasberg und dem Großen Knollen. Er liegt unterhalb der Koboldstaler Köpfe auf 591 m ü. NN. Von hier bietet sich ein hervorragender Ausblick auf Sankt Andreasberg und das Siebertal.,,153,153,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/153-goedeckenplatz-2.jpg,[Schadenbeeksköpfe](https://commons.wikimedia.org/wiki/File:Schadenbeeksk%C3%B6pfe.jpg) von [Thomas Binder](https://commons.wikimedia.org/wiki/User:B.Thomas95) unter Lizenz [CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)
a6243577-2838-45e3-80ad-619f72e62229,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.602769999999964,51.83017,Scharfenstein - Rangerstation,Die Scharfensteinklippe erhebt sich auf 698 m Höhe südwestlich von Ilsenburg. Direkt darunter befindet sich die Rangerstation Scharfenstein. Sie bietet Wanderern Informationen und einen Imbiss. Die Station ist Teil der Harzer Wandernadel als Stempelstelle 2.,,2,002,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/2-scharfenstein-rangerstation.jpg,[Rangerstation Scharfenstein](https://commons.wikimedia.org/wiki/File:RangerstatationScharfenstein.jpg) von [Hejkal](https://de.wikipedia.org/wiki/User:Hejkal) unter Lizenz [CC BY-SA 2.0 de](https://creativecommons.org/licenses/by-sa/2.0/de/deed.en)
95d9e3b7-f687-4df9-b231-58b5debdab89,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.611800000000017,51.84437,Am Kruzifix,"Die Stempelstelle Am Kruzifix liegt am bekannten Heinrich-Heine-Weg zwischen Ilsenburg und dem Brocken. Sie befindet sich auf etwa 700 m Höhe und bietet eine ruhige Rastmöglichkeit für Wanderer. Der Name stammt von einem historischen Holzkreuz, das hier seit Jahrzehnten steht.",,3,003,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/3-am-kruzifix.jpg,[Am Kruzifix](https://commons.wikimedia.org/wiki/File:Am_Kruzifix.JPG) von [Thomas Binder](https://commons.wikimedia.org/wiki/User:B.Thomas95) unter Lizenz [CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)
da3af2e1-587c-4c82-8dad-17b4587451f5,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.632450000000063,51.75183,Grenzweg am Kaffeehorst,Der Grenzweg am Kaffeehorst liegt auf einer ehemaligen innerdeutschen Grenze im Nationalpark Harz. Die Stempelstelle HWN 18 befindet sich an einer Schutzhütte und ist ein ruhiger Rastplatz für Wanderer.,,18,018,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/18-grenzweg-am-kaffeehorst.jpg,[Schutzhütte Kaffeehorst](https://commons.wikimedia.org/wiki/File:Schutzh%C3%BCtte_Kaffeehorst.JPG) von [Thomas Binder](https://commons.wikimedia.org/wiki/User:B.Thomas95) unter Lizenz [CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)
96eba5f1-c6d5-48cc-b824-7e220e18b923,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.69378000000006,51.78152,Leistenklippe,Die Leistenklippe ist eine spektakuläre Felsformation auf 900 m Höhe im Nationalpark Harz. Sie bietet eine der schönsten Aussichten auf den Brocken und das Umland. Die Stempelstelle HWN 15 befindet sich direkt an der Klippe.,,15,015,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/15-leistenklippe.jpg,[Auf der Leistenklippe](https://commons.wikimedia.org/wiki/File:Auf_der_Leistenklippe.JPG) von [FrankBothe](https://commons.wikimedia.org/wiki/User:FrankBothe) unter Lizenz [CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)
2753b50b-0c98-476d-9259-b48ec78c6f11,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.947769999999991,51.49778,Reesbergdoline,"Die Reesbergdoline liegt zwischen der Karsthöhle Heimkehle bei Uftrungen und dem Reesberg (325 m ü. NN) im Alten Stolberg. Sie ist eine beeindruckende 22 Meter tiefe Doline, entstanden durch die Auflösung von Gips im Untergrund.",,214,214,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/214-reesbergdoline.jpg,[HWN214 Reesbergdoline](https://commons.wikimedia.org/wiki/File:HWN214_Reesbergdoline.jpg) von [w:de:User:Miebner](https://en.wikipedia.org/wiki/de:User:Miebner) unter Lizenz [CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)
bb4ae54d-4eb1-41d3-bc0d-b15b904b437f,1970-01-01T00:00:01.000Z,2037-12-31T23:00:01.000Z,10.652100000000019,51.8235,Ferdinandsstein,Der Ferdinandsstein ist eine markante Felsformation auf 927 m Höhe im Nationalpark Harz. Von hier hast du einen großartigen Blick auf das Harzvorland und den Brocken. Die Stempelstelle HWN 16 liegt direkt am Felsen.,,16,016,,,,,,,,,,,,https://www.harzer-wander-buddy.de/assets/images/stampboxes/16-ferdinandsstein.jpg,[Ferdinandsstein](https://commons.wikimedia.org/wiki/File:Ferdinandsstein.JPG) von [Thomas Binder](https://commons.wikimedia.org/wiki/User:B.Thomas95) unter Lizenz [CC BY-SA 4.0](https://creativecommons.org/licenses/by-sa/4.0)
