ID;longitude;latitude;name;description
a7e5b55f-82fb-4bb7-955f-fafc07dfd59b;10.452418;51.772276;Clausthal-Zellerfeld - ;Asphaltierter Parkplatz an der Straße, die abends/nachts sehr wenig befahren ist. An einer Stelle hat man etwas Fernblick. Die abgestorbenen Bäume bieten einen etwas traurigen Anblick. Das Vogelgezwitscher und ein schöner Sonnenuntergang entschädigen. Ein Schild warnt vor Wildschweinen.
922ec2be-a818-4096-a97d-073961b43db6;10.457914;51.767919;Altenau - B242;Kleiner Parkplatz bei der Magdeburger Hütte, schöne Aussicht ins Tal. Allerdings direkt an der Straße - uns hat es nicht gestört da nachts kaum befahren. Auf dem Parkplatz vorher WoMo-Verbotsschild, aber hier nicht, sind über Nacht geblieben, ganz problemlos.
b2ad4140-4309-4727-8e5a-a223a450221e;10.44305;51.79732;Altenau - 35 Karl-Reinecke-Weg;Stellplatz direkt an der Therme, Bezahlung in der Therme , Strom über Säule mit 0,50 €  Münzen, WC zu den Öffnungszeiten der Therme.
1ddcdf7a-fa7f-4786-919b-1f12a49831bc;10.443244;51.797925;Altenau - 35 Karl-Reinecke-Weg;Allgemeiner Parkplatz der Therme "Heißer Brocken" in Altenau. Es gibt keinen ausgewiesenen Bereich für Wohnmobile. Wenn Sie Strom möchten, parken Sie in der Nähe der Stromsäulen. Quadrat teilweise schräg. Unterirdisch asphaltiert, teilweise Schotter.
0cbae5da-7262-482c-930e-69ab89626c3e;10.416624;51.799453;Waldcampingplatz Polstertal;Super schöner und sehr ruhig gelegener Waldcampingplatz ca. 500m von der Straße entfernt über einen geschotterten Forstweg zu erreichen. Die Sanitären sind frisch renoviert, die Betreiber sind sehr freundlich und hilfsbereit. Hobbithäuser, Weinfässer und zwei Lodges kann man mieten!
ebffee3e-7de1-4b00-8624-cb8c23831063;10.43395;51.80129;Wohnmobil-Stellplatz Alter Bahnhof Altenau;Herzlich Willkommen bei Andrea und Frank im Oberharz auf unserem einfachen, kleinen Stellplatz am Ortsrand, sehr ruhig gelegen. Wir haben 30 Stellplätze, davon 20 mit Strom. Der ideale Ausgangspunkt für Wanderungen/Radtouren.
e4aa3658-bdc8-47c5-841d-272ae181f8c2;10.448729;51.80102;Altenau - 16 Sonderstraße;Tagesplatz ohne Ver- und Entsorgungsmöglichkeiten. Ausgangspunkt für tolle Wandertouren. Spielplatz in der Nähe.
45db548a-6b39-4602-98ec-8ca49aae398c;10.460371;51.798906;Altenau - 43 Kleine Oker;Kleiner Parkplatz des Waldschwimmbades am Ende einer Sackgasse. Freibad (mit dem Wasser der kleinen Oker = a...kalt) kostenfrei. Kleiner Spielplatz mit Rutsche, Schaukeltieren und Sandkasten auf Schwimmbadgelände. Übernachtung (für kleine Mobile und Kastenwagen <6m) geduldet. nachts sehr ruhig
a32ac27b-8fb2-4ff8-9c58-e5a5a86b9307;10.448869;51.803968;Altenau - 3 L504;Altenau, Kostenloser Stellplatz auf einem Parkplatz. Der Platz ist gut für einen Tag. Direkt im Ort. Gegenüber ein Lebensmittelladen. Zu Fuß ist die Ortsmitte gut zu erreichen. Guter Ausgangspunkt für Wandertouren. Keine Ver und Entsorgung
0cbdcd3c-0a05-4baa-a653-43c0e982716d;10.36788;51.79001;Clausthal-Zellerfeld - B242;Netter ruhiger Platz ein Stück abseits der Straße. Die Straße hört man kaum, Man steht idyllisch.
