ID,fromPoi,toPoi,durationSeconds,distanceMeters,travelMode,positionString
"0012edc2-7268-43fb-adfb-e9b4b8e58620","51d9ad1a-3fc8-4e33-93f2-a4193f7b7cc2","51d9ad1a-3fc8-4e33-93f2-a4193f7b7cc2","5","5","walk","10.467539999999985;51.78544;0"
"0013889a-0724-4d20-bd12-6de8923d95d2","c25b353a-cc97-4128-bce5-71a60893fdc9","c25b353a-cc97-4128-bce5-71a60893fdc9","5","5","walk","10.467539999999985;51.78544;0"
"0013ff62-cb4d-4e40-9305-85437b2d3ef2","122cbd72-adf0-4b28-afab-a34ba3837179","122cbd72-adf0-4b28-afab-a34ba3837179","5","5","walk","10.467539999999985;51.78544;0"
"00283267-72ae-4f59-ba08-944a7fba27dd","1e31c05b-bd22-40de-bf5a-5bbbfb962869","1e31c05b-bd22-40de-bf5a-5bbbfb962869","5","5","walk","10.467539999999985;51.78544;0"
"0028aae4-f8b5-41d0-9338-7d670b9e1c6e","a2167e1b-3f70-4424-b5ac-fb80bf394e57","a2167e1b-3f70-4424-b5ac-fb80bf394e57","5","5","walk","10.467539999999985;51.78544;0"
"0030a973-55b3-4db2-b807-42e40ae3ba03","73d4dd3b-a292-4e48-a395-033c96b37cd6","73d4dd3b-a292-4e48-a395-033c96b37cd6","5","5","walk","10.467539999999985;51.78544;0"
"0037f612-1535-4c66-b973-57841535b2de","53048f4d-8b0a-44ea-80a9-2596a55261b2","53048f4d-8b0a-44ea-80a9-2596a55261b2","5","5","walk","10.467539999999985;51.78544;0"
"0039a6b3-476e-45f5-8b60-727c6eea6c7c","a32ac27b-8fb2-4ff8-9c58-e5a5a86b9307","a32ac27b-8fb2-4ff8-9c58-e5a5a86b9307","5","5","walk","10.467539999999985;51.78544;0"
"003ca54a-9d3b-4b2d-9ae6-ef3550855dfc","507cd8a5-62ff-4724-932e-6443a5be7415","507cd8a5-62ff-4724-932e-6443a5be7415","5","5","walk","10.467539999999985;51.78544;0"
"003d1f3f-1c11-4baf-afd0-1c5725e8a814","309ae0f7-08ce-4b39-88ee-4e457cfe56bf","309ae0f7-08ce-4b39-88ee-4e457cfe56bf","5","5","walk","10.467539999999985;51.78544;0"
"004ff68d-16b7-44cf-a406-ef4a92addcdd","d8d0fdda-6038-4b8b-a231-1be584730904","d8d0fdda-6038-4b8b-a231-1be584730904","5","5","walk","10.467539999999985;51.78544;0"
"00637910-cb43-4bc6-9629-382f9a3b5f63","1a8540d8-ec99-421d-8ea8-4bbc214a6701","1a8540d8-ec99-421d-8ea8-4bbc214a6701","5","5","walk","10.467539999999985;51.78544;0"
"006586cb-0b45-4f0b-b632-b258e98a9c93","9da75589-23fc-4e2d-9a34-619425dba049","9da75589-23fc-4e2d-9a34-619425dba049","5","5","walk","10.467539999999985;51.78544;0"
