2fab4633-2a4d-466c-9f05-38fd2e72e540;10.452418;51.772276;Clausthal-Zellerfeld - ;Asphaltierter Parkplatz an der Straße, die abends/nachts sehr wenig befahren ist. An einer Stelle hat man etwas Fernblick. Die abgestorbenen Bäume bieten einen etwas traurigen Anblick. Das Vogelgezwitscher und ein schöner Sonnenuntergang entschädigen. Ein Schild warnt vor Wildschweinen.
d0d9d9d2-6b8f-4275-bb6f-5ffe66a908d1;10.457914;51.767919;Altenau - B242;Kleiner Parkplatz bei der Magdeburger Hütte, schöne Aussicht ins Tal. Allerdings direkt an der Straße - uns hat es nicht gestört da nachts kaum befahren. Auf dem Parkplatz vorher WoMo-Verbotsschild, aber hier nicht, sind über Nacht geblieben, ganz problemlos.
10c23245-574f-48e1-bf9f-4852f2edebae;10.443244;51.797925;Altenau - 35 Karl-Reinecke-Weg;Allgemeiner Parkplatz der Therme "Heißer Brocken" in Altenau. Es gibt keinen ausgewiesenen Bereich für Wohnmobile. Wenn Sie Strom möchten, parken Sie in der Nähe der Stromsäulen. Quadrat teilweise schräg. Unterirdisch asphaltiert, teilweise Schotter.
f6100122-332a-4580-befe-74a7927378c7;10.448729;51.80102;Altenau - 16 Sonderstraße;Tagesplatz ohne Ver- und Entsorgungsmöglichkeiten. Ausgangspunkt für tolle Wandertouren. Spielplatz in der Nähe.
342119e7-70fb-40d0-bd68-6a89abfc75fb;10.460371;51.798906;Altenau - 43 Kleine Oker;Kleiner Parkplatz des Waldschwimmbades am Ende einer Sackgasse. Freibad (mit dem Wasser der kleinen Oker = a...kalt) kostenfrei. Kleiner Spielplatz mit Rutsche, Schaukeltieren und Sandkasten auf Schwimmbadgelände. Übernachtung (für kleine Mobile und Kastenwagen <6m) geduldet. nachts sehr ruhig
a7430a35-315c-4f2c-b303-d3d999921ad6;10.448869;51.803968;Altenau - 3 L504;Altenau, Kostenloser Stellplatz auf einem Parkplatz. Der Platz ist gut für einen Tag. Direkt im Ort. Gegenüber ein Lebensmittelladen. Zu Fuß ist die Ortsmitte gut zu erreichen. Guter Ausgangspunkt für Wandertouren. Keine Ver und Entsorgung
74194bb0-24e4-4226-9faf-4d9ca2b15d59;10.36788;51.79001;Clausthal-Zellerfeld - B242;Netter ruhiger Platz ein Stück abseits der Straße. Die Straße hört man kaum, Man steht idyllisch.
dd9e1dbb-1fc6-44d5-a77d-be84513fa153;10.353764;51.743557;Osterode am Harz - ;Kleiner Erholungsplatz am Waldrand, gut zu erreichen (nahe einer Straße, welche jedoch nachts wenig befahren ist), Pause machen erwünscht
e8beac38-f6cf-4ff0-a647-5123a1d7fb3b;10.351475;51.747814;Osterode am Harz - B498;Parkplatz oberhalb der Talsperre
b7e70629-4894-4ee2-b290-1471f0c1763e;10.467565;51.806422;Altenau - Schultal;Parkplatz Tischlertal. Wir haben hier im Apr. 2020 (Corona, alles geschlossen) für 2 Tage/Nächte problemlos gestanden. Nur offenes Grillen sollte man wg. Waldbrandgefahr unterlassen. Links führt vom Parkplatz ein Fussweg nach ca. 100m über eine Holzbrücke zu einem idyllisch am Bach gelegenen Picknickplatz. Altenau auf schönem Weg durch die Wiesen des Mühlenberg fussläufig erreichbar. Auch diverse Wanderungen von hier aus möglich!
130efdc1-9f45-40d5-9562-ac54ed0d37a3;10.514774;51.761;Sankt Andreasberg - 8 Sonnenberg;Schöner asphaltierter Stellplatz für Wanderungen z.b. zum Oderteich (1,8 km) Der Weg dorthin ist mittelschwer einzuordnen. Ziemlich viel Furchen und Wurzelwerk.  Parken nur ab 6 - 22 Uhr erlaubt
